Series_Title,IMDB_Rating,Released_Year,Overview,Genre,Actors
Ladri di biciclette,8.3,1948,"In post-war Italy, a working-class man's bicycle is stolen. He and his son set out to find it.",Drama,Lamberto Maggiorani Enzo Staiola Lianella Carell Elena Altieri
Double Indemnity,8.3,1944,An insurance representative lets himself be talked by a seductive housewife into a murder/insurance fraud scheme that arouses the suspicion of an insurance investigator.,"Crime, Drama, Film-Noir",Fred MacMurray Barbara Stanwyck Edward G. Robinson Byron Barr
Citizen Kane,8.3,1941,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'.","Drama, Mystery",Orson Welles Joseph Cotten Dorothy Comingore Agnes Moorehead
M - Eine Stadt sucht einen Mörder,8.3,1931,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.","Crime, Mystery, Thriller",Peter Lorre Ellen Widmann Inge Landgut Otto Wernicke
Metropolis,8.3,1927,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.","Drama, Sci-Fi",Brigitte Helm Alfred Abel Gustav Fröhlich Rudolf Klein-Rogge
The Kid,8.3,1921,"The Tramp cares for an abandoned child, but events put that relationship in jeopardy.","Comedy, Drama, Family",Charles Chaplin Edna Purviance Jackie Coogan Carl Miller
Chhichhore,8.2,2019,"A tragic incident forces Anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers.","Comedy, Drama",Sushant Singh Rajput Shraddha Kapoor Varun Sharma Prateik
Uri: The Surgical Strike,8.2,2018,"Indian army special forces execute a covert operation, avenging the killing of fellow army men at their base by a terrorist group.","Action, Drama, War",Vicky Kaushal Paresh Rawal Mohit Raina Yami Gautam
K.G.F: Chapter 1,8.2,2018,"In the 1970s, a fierce rebel rises against brutal oppression and becomes the symbol of hope to legions of downtrodden people.","Action, Drama",Yash Srinidhi Shetty Ramachandra Raju Archana Jois
Green Book,8.2,2018,A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.,"Biography, Comedy, Drama",Viggo Mortensen Mahershala Ali Linda Cardellini Sebastian Maniscalco
"Three Billboards Outside Ebbing, Missouri",8.2,2017,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,"Comedy, Crime, Drama",Frances McDormand Woody Harrelson Sam Rockwell Caleb Landry Jones
Talvar,8.2,2015,An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide.,"Crime, Drama, Mystery",Irrfan Khan Konkona Sen Sharma Neeraj Kabi Sohum Shah
Baahubali 2: The Conclusion,8.2,2017,"When Shiva, the son of Bahubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom.","Action, Drama",Prabhas Rana Daggubati Anushka Shetty Tamannaah Bhatia
Klaus,8.2,2019,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.","Animation, Adventure, Comedy",Carlos Martínez López Jason Schwartzman J.K. Simmons Rashida Jones
Drishyam,8.2,2015,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.","Crime, Drama, Mystery",Ajay Devgn Shriya Saran Tabu Rajat Kapoor
Queen,8.2,2013,A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled.,"Adventure, Comedy, Drama",Kangana Ranaut Rajkummar Rao Lisa Haydon Jeffrey Ho
Mandariinid,8.2,2013,"In 1992, war rages in Abkhazia, a breakaway region of Georgia. An Estonian man Ivo has decided to stay behind and harvest his crops of tangerines. In a bloody conflict at his door, a wounded man is left behind, and Ivo takes him in.","Drama, War",Lembit Ulfsak Elmo Nüganen Giorgi Nakashidze Misha Meskhi
Bhaag Milkha Bhaag,8.2,2013,The truth behind the ascension of Milkha Singh who was scarred because of the India-Pakistan partition.,"Biography, Drama, Sport",Farhan Akhtar Sonam Kapoor Pawan Malhotra Art Malik
Gangs of Wasseypur,8.2,2012,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.","Action, Comedy, Crime",Manoj Bajpayee Richa Chadha Nawazuddin Siddiqui Tigmanshu Dhulia
Udaan,8.2,2010,"Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father.",Drama,Rajat Barmecha Ronit Roy Manjot Singh Ram Kapoor
Paan Singh Tomar,8.2,2012,"The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement.","Action, Biography, Crime",Irrfan Khan Mahie Gill Rajesh Abhay Hemendra Dandotiya
El secreto de sus ojos,8.2,2009,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,"Drama, Mystery, Romance",Ricardo Darín Soledad Villamil Pablo Rago Carla Quevedo
Warrior,8.2,2011,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.","Action, Drama, Sport",Tom Hardy Nick Nolte Joel Edgerton Jennifer Morrison
Shutter Island,8.2,2010,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.","Mystery, Thriller",Leonardo DiCaprio Emily Mortimer Mark Ruffalo Ben Kingsley
Up,8.2,2009,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.","Animation, Adventure, Comedy",Bob Peterson Edward Asner Jordan Nagai John Ratzenberger
The Wolf of Wall Street,8.2,2013,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.","Biography, Crime, Drama",Leonardo DiCaprio Jonah Hill Margot Robbie Matthew McConaughey
Chak De! India,8.2,2007,Kabir Khan is the coach of the Indian Women's National Hockey Team and his dream is to make his all girls team emerge victorious against all odds.,"Drama, Family, Sport",Shah Rukh Khan Vidya Malvade Sagarika Ghatge Shilpa Shukla
There Will Be Blood,8.2,2007,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",Drama,Daniel Day-Lewis Paul Dano Ciarán Hinds Martin Stringer
Pan's Labyrinth,8.2,2006,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.","Drama, Fantasy, War",Ivana Baquero Ariadna Gil Sergi López Maribel Verdú
Toy Story 3,8.2,2010,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.","Animation, Adventure, Comedy",Tom Hanks Tim Allen Joan Cusack Ned Beatty
V for Vendetta,8.2,2005,"In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman.","Action, Drama, Sci-Fi",Hugo Weaving Natalie Portman Rupert Graves Stephen Rea
Rang De Basanti,8.2,2006,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom.","Comedy, Crime, Drama",Aamir Khan Soha Ali Khan Siddharth Sharman Joshi
Black,8.2,2005,"The cathartic tale of a young woman who can't see, hear or talk and the teacher who brings a ray of light into her dark world.",Drama,Amitabh Bachchan Rani Mukerji Shernaz Patel Ayesha Kapoor
Batman Begins,8.2,2005,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.","Action, Adventure",Christian Bale Michael Caine Ken Watanabe Liam Neeson
"Swades: We, the People",8.2,2004,A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.,Drama,Shah Rukh Khan Gayatri Joshi Kishori Ballal Smit Sheth
Der Untergang,8.2,2004,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.","Biography, Drama, History",Bruno Ganz Alexandra Maria Lara Ulrich Matthes Juliane Köhler
Hauru no ugoku shiro,8.2,2004,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.","Animation, Adventure, Family",Chieko Baishô Takuya Kimura Tatsuya Gashûin Akihiro Miwa
A Beautiful Mind,8.2,2001,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.","Biography, Drama",Russell Crowe Ed Harris Jennifer Connelly Christopher Plummer
Hera Pheri,8.2,2000,"Three unemployed men look for answers to all their money problems - but when their opportunity arrives, will they know what to do with it?","Action, Comedy, Crime",Akshay Kumar Sunil Shetty Paresh Rawal Tabu
"Lock, Stock and Two Smoking Barrels",8.2,1998,"A botched card game in London triggers four friends, thugs, weed-growers, hard gangsters, loan sharks and debt collectors to collide with each other in a series of unexpected events, all for the sake of weed, cash and two antique shotguns.","Action, Comedy, Crime",Jason Flemyng Dexter Fletcher Nick Moran Jason Statham
L.A. Confidential,8.2,1997,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.","Crime, Drama, Mystery",Kevin Spacey Russell Crowe Guy Pearce Kim Basinger
Eskiya,8.2,1996,"Baran the Bandit, released from prison after 35 years, searches for vengeance and his lover.","Crime, Drama, Thriller",Sener Sen Ugur Yücel Sermin Hürmeriç Yesim Salkim
Heat,8.2,1995,A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.,"Crime, Drama, Thriller",Al Pacino Robert De Niro Val Kilmer Jon Voight
Casino,8.2,1995,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite.","Crime, Drama",Robert De Niro Sharon Stone Joe Pesci James Woods
Andaz Apna Apna,8.2,1994,Two slackers competing for the affections of an heiress inadvertently become her protectors from an evil criminal.,"Action, Comedy, Romance",Aamir Khan Salman Khan Raveena Tandon Karisma Kapoor
Unforgiven,8.2,1992,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid.""","Drama, Western",Clint Eastwood Gene Hackman Morgan Freeman Richard Harris
Indiana Jones and the Last Crusade,8.2,1989,"In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers.","Action, Adventure",Harrison Ford Sean Connery Alison Doody Denholm Elliott
Dom za vesanje,8.2,1988,"In this luminous tale set in the area around Sarajevo and in Italy, Perhan, an engaging young Romany (gypsy) with telekinetic powers, is seduced by the quick-cash world of petty crime, which threatens to destroy him and those he loves.","Comedy, Crime, Drama",Davor Dujmovic Bora Todorovic Ljubica Adzovic Husnija Hasimovic
Tonari no Totoro,8.2,1988,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.","Animation, Family, Fantasy",Hitoshi Takagi Noriko Hidaka Chika Sakamoto Shigesato Itoi
Die Hard,8.2,1988,An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,"Action, Thriller",Bruce Willis Alan Rickman Bonnie Bedelia Reginald VelJohnson
Ran,8.2,1985,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.","Action, Drama, War",Tatsuya Nakadai Akira Terao Jinpachi Nezu Daisuke Ryû
