Series_Title,IMDB_Rating,Released_Year,Overview,Genre,Actors
Taxi Driver,8.3,1976,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.","Crime, Drama",Robert De Niro Jodie Foster Cybill Shepherd Albert Brooks
The Sting,8.3,1973,Two grifters team up to pull off the ultimate con.,"Comedy, Crime, Drama",Paul Newman Robert Redford Robert Shaw Charles Durning
A Clockwork Orange,8.3,1971,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.","Crime, Drama, Sci-Fi",Malcolm McDowell Patrick Magee Michael Bates Warren Clarke
2001: A Space Odyssey,8.3,1968,"After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000.","Adventure, Sci-Fi",Keir Dullea Gary Lockwood William Sylvester Daniel Richter
Per qualche dollaro in più,8.3,1965,Two bounty hunters with the same intentions team up to track down a Western outlaw.,Western,Clint Eastwood Lee Van Cleef Gian Maria Volontè Mara Krupp
Lawrence of Arabia,8.3,1962,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.","Adventure, Biography, Drama",Peter O'Toole Alec Guinness Anthony Quinn Jack Hawkins
The Apartment,8.3,1960,"A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.","Comedy, Drama, Romance",Jack Lemmon Shirley MacLaine Fred MacMurray Ray Walston
North by Northwest,8.3,1959,A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies.,"Adventure, Mystery, Thriller",Cary Grant Eva Marie Saint James Mason Jessie Royce Landis
Vertigo,8.3,1958,A former police detective juggles wrestling with his personal demons and becoming obsessed with a hauntingly beautiful woman.,"Mystery, Romance, Thriller",James Stewart Kim Novak Barbara Bel Geddes Tom Helmore
Singin' in the Rain,8.3,1952,A silent film production company and cast make a difficult transition to sound.,"Comedy, Musical, Romance",Gene Kelly Gene Kelly Donald O'Connor Debbie Reynolds
Ikiru,8.3,1952,A bureaucrat tries to find a meaning in his life after he discovers he has terminal cancer.,Drama,Takashi Shimura Nobuo Kaneko Shin'ichi Himori Haruo Tanaka
